,log_file,log_id,meg_file,subject,task
0,sourcedata/meg_task/V1001-1-MEG-MOUS-Vis.log,1,sub-V1001/meg/sub-V1001_task-visual_meg.ds,1001,visual
1,sourcedata/meg_task/V1002-2-MEG-MOUS-Vis.log,2,sub-V1002/meg/sub-V1002_task-visual_meg.ds,1002,visual
2,sourcedata/meg_task/V1003-3-MEG-MOUS-Vis.log,3,sub-V1003/meg/sub-V1003_task-visual_meg.ds,1003,visual
3,sourcedata/meg_task/V1004-3-MEG-MOUS-Vis.log,3,sub-V1004/meg/sub-V1004_task-visual_meg.ds,1004,visual
4,sourcedata/meg_task/V1005-5-MEG-MOUS-Vis.log,5,sub-V1005/meg/sub-V1005_task-visual_meg.ds,1005,visual
7,sourcedata/meg_task/V1007-2-MEG-MOUS-Vis.log,2,sub-V1007/meg/sub-V1007_task-visual_meg.ds,1007,visual
8,sourcedata/meg_task/V1008-2-MEG-MOUS-Vis.log,2,sub-V1008/meg/sub-V1008_task-visual_meg.ds,1008,visual
9,sourcedata/meg_task/V1009-4-MEG-MOUS-Vis.log,4,sub-V1009/meg/sub-V1009_task-visual_meg.ds,1009,visual
10,sourcedata/meg_task/V1010-4-MEG-MOUS-Vis.log,4,sub-V1010/meg/sub-V1010_task-visual_meg.ds,1010,visual
11,sourcedata/meg_task/V1011-5-MEG-MOUS-Vis.log,5,sub-V1011/meg/sub-V1011_task-visual_meg.ds,1011,visual
12,sourcedata/meg_task/V1012-6-MEG-MOUS-Vis.log,6,sub-V1012/meg/sub-V1012_task-visual_meg.ds,1012,visual
13,sourcedata/meg_task/V1013-1-MEG-MOUS-Vis.log,1,sub-V1013/meg/sub-V1013_task-visual_meg.ds,1013,visual
14,sourcedata/meg_task/V1015-3-MEG-MOUS-Vis.log,3,sub-V1015/meg/sub-V1015_task-visual_meg.ds,1015,visual
15,sourcedata/meg_task/V1016-4-MEG-MOUS-Vis.log,4,sub-V1016/meg/sub-V1016_task-visual_meg.ds,1016,visual
17,sourcedata/meg_task/V1019-1-MEG-MOUS-Vis.log,1,sub-V1019/meg/sub-V1019_task-visual_meg.ds,1019,visual
18,sourcedata/meg_task/V1020-2-MEG-MOUS-Vis.log,2,sub-V1020/meg/sub-V1020_task-visual_meg.ds,1020,visual
19,sourcedata/meg_task/V1022-4-MEG-MOUS-Vis.log,4,sub-V1022/meg/sub-V1022_task-visual_meg.ds,1022,visual
20,sourcedata/meg_task/V1024-6-MEG-MOUS-Vis.log,6,sub-V1024/meg/sub-V1024_task-visual_meg.ds,1024,visual
21,sourcedata/meg_task/V1025-1-MEG-MOUS-Vis.log,1,sub-V1025/meg/sub-V1025_task-visual_meg.ds,1025,visual
