{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 0, 'result_error_in_all': 0.9999981881066288, 'result_error_out_all': 0.9999996092063496, 'result_error_in_mask': 1.0002483436100138, 'result_error_out_mask': 1.0001844524323475, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6577777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 1, 'result_error_in_all': 0.9999915462829484, 'result_error_out_all': 0.9999966172444649, 'result_error_in_mask': 1.0005438638041193, 'result_error_out_mask': 1.0003097542531616, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4544444444444445}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 2, 'result_error_in_all': 0.9999999810100767, 'result_error_out_all': 0.9999999991883827, 'result_error_in_mask': 1.000125208425426, 'result_error_out_mask': 1.0001407157650322, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4544444444444444}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 3, 'result_error_in_all': 1.0000007114537055, 'result_error_out_all': 1.0000015875186758, 'result_error_in_mask': 1.0004250913535242, 'result_error_out_mask': 1.000320980995983, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6411111111111112}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 4, 'result_error_in_all': 1.0000125855480448, 'result_error_out_all': 0.9999974258868928, 'result_error_in_mask': 1.000161313176238, 'result_error_out_mask': 1.0001988863047944, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5122222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 5, 'result_error_in_all': 0.9999171824383077, 'result_error_out_all': 0.9999874794130684, 'result_error_in_mask': 1.0001887835857413, 'result_error_out_mask': 1.0002537544714332, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6888888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 6, 'result_error_in_all': 0.9999924204261326, 'result_error_out_all': 0.9999968304164693, 'result_error_in_mask': 1.000801626210206, 'result_error_out_mask': 1.0006636377959592, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4111111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 7, 'result_error_in_all': 1.0000014734453404, 'result_error_out_all': 0.999994508370013, 'result_error_in_mask': 1.0009704609551406, 'result_error_out_mask': 1.0003445268310318, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6699999999999999}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 8, 'result_error_in_all': 0.9999999503949264, 'result_error_out_all': 1.0000000006824654, 'result_error_in_mask': 1.0005559983605046, 'result_error_out_mask': 1.0005323782524371, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.3888888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'CCA', 'seed': 9, 'result_error_in_all': 0.9999929345719777, 'result_error_out_all': 1.000004178088846, 'result_error_in_mask': 1.0001648054906882, 'result_error_out_mask': 1.0001912663163015, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6433333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.999998605236062, 'result_error_out_all': 0.9999991222739826, 'result_error_in_mask': 1.0007613445570012, 'result_error_out_mask': 1.0005456669885764, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5211111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9999991764025438, 'result_error_out_all': 0.9999969638574763, 'result_error_in_mask': 1.0004963951241663, 'result_error_out_mask': 1.0004582671074975, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4411111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.9999999999999969, 'result_error_out_all': 0.9999999999999983, 'result_error_in_mask': 1.0008125553442246, 'result_error_out_mask': 1.0005597312142687, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.56}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 3, 'result_error_in_all': 0.99999740022293, 'result_error_out_all': 0.999998415364065, 'result_error_in_mask': 1.0005945455265317, 'result_error_out_mask': 1.0005149431066238, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5922222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 4, 'result_error_in_all': 0.9999989163002255, 'result_error_out_all': 0.9999995826430643, 'result_error_in_mask': 1.0004315081323396, 'result_error_out_mask': 1.0003924884202646, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5488888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 5, 'result_error_in_all': 0.9999994322494091, 'result_error_out_all': 0.999999620376081, 'result_error_in_mask': 1.0000975626553674, 'result_error_out_mask': 1.0001793768229124, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.7677777777777779}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 6, 'result_error_in_all': 0.9999967788817274, 'result_error_out_all': 1.000000080376857, 'result_error_in_mask': 1.0005966992102573, 'result_error_out_mask': 1.0005171685465735, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5211111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 7, 'result_error_in_all': 0.999999955878703, 'result_error_out_all': 0.9999996932835263, 'result_error_in_mask': 1.0007748675523997, 'result_error_out_mask': 1.0003459064093283, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6177777777777778}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 8, 'result_error_in_all': 0.9999998226973729, 'result_error_out_all': 0.9999997744048366, 'result_error_in_mask': 1.0006025696219605, 'result_error_out_mask': 1.0005116041754205, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4444444444444444}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 9, 'result_error_in_all': 0.9999997498237022, 'result_error_out_all': 1.0000000336705335, 'result_error_in_mask': 1.0004841590015738, 'result_error_out_mask': 1.0004343713595916, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6533333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 0, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999770892902721, 'result_error_out_mask': 0.9999849463916907, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 1, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999654212351621, 'result_error_out_mask': 0.9999868424450151, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 2, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999787875878632, 'result_error_out_mask': 0.9999974277415301, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 3, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.999974185979162, 'result_error_out_mask': 0.9999818223242125, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 4, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.99997075426812, 'result_error_out_mask': 0.9999825356601004, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 5, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.999938005568566, 'result_error_out_mask': 0.999981339616299, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 6, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999701303679737, 'result_error_out_mask': 0.9999862696954681, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 7, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 1.0000236020659523, 'result_error_out_mask': 0.9999765743739251, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 8, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999625003060683, 'result_error_out_mask': 1.00000229441495, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Lasso', 'seed': 9, 'result_error_in_all': 1.0, 'result_error_out_all': 1.0, 'result_error_in_mask': 0.9999734328077252, 'result_error_out_mask': 0.9999903563676475, 'result_false_positives': 0.0, 'result_false_negatives': 0.1, 'result_auc': 0.5}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.108354804027469, 'result_error_out_all': 15.254607050911655, 'result_error_in_mask': 0.9999958859462175, 'result_error_out_mask': 1.0000027593297558, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4788888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 1, 'result_error_in_all': 1.113130367376359, 'result_error_out_all': 30.92989179468995, 'result_error_in_mask': 0.999993628666779, 'result_error_out_mask': 0.9999959833299628, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.44555555555555554}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 2, 'result_error_in_all': 1.1083176890664064, 'result_error_out_all': 357.68651317206115, 'result_error_in_mask': 1.0000004114707512, 'result_error_out_mask': 1.0000019899776054, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4866666666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 3, 'result_error_in_all': 1.1048014051507657, 'result_error_out_all': 27.758179307755793, 'result_error_in_mask': 0.9999865925761374, 'result_error_out_mask': 0.9999928046508405, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.64}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 4, 'result_error_in_all': 1.10938196503553, 'result_error_out_all': 11.553518784232164, 'result_error_in_mask': 0.9999970670263774, 'result_error_out_mask': 0.9999935899701567, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.4933333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 5, 'result_error_in_all': 1.111269502311742, 'result_error_out_all': 33.14225278571091, 'result_error_in_mask': 1.0000622502370802, 'result_error_out_mask': 1.0000775746356771, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.6211111111111112}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 6, 'result_error_in_all': 1.1077319333452367, 'result_error_out_all': 5.761233754455681, 'result_error_in_mask': 0.9999944611176472, 'result_error_out_mask': 0.9999904465344234, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5777777777777777}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 7, 'result_error_in_all': 1.1082407432278734, 'result_error_out_all': 22.731631968349546, 'result_error_in_mask': 0.9999982761985992, 'result_error_out_mask': 0.9999879886644943, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5355555555555556}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 8, 'result_error_in_all': 1.1082359691361001, 'result_error_out_all': 24.288657894351388, 'result_error_in_mask': 0.9999996252535752, 'result_error_out_mask': 0.9999983573059852, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.48888888888888893}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 9, 'result_error_in_all': 1.111228943027601, 'result_error_out_all': 8.856874273274995, 'result_error_in_mask': 1.0000005019308484, 'result_error_out_mask': 0.9999966651572353, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 0.5122222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.999895493477733, 'result_error_out_all': 0.999895755789502, 'result_error_in_mask': 0.999895493477733, 'result_error_out_mask': 0.999895755789502, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 1, 'result_error_in_all': 0.9999800897145981, 'result_error_out_all': 0.9999841258885234, 'result_error_in_mask': 0.9999800897145981, 'result_error_out_mask': 0.9999841258885234, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
