{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.999998605236062, 'result_error_out_all': 0.9999991222739826, 'result_error_in_mask': 1.0007613445570012, 'result_error_out_mask': 1.0005456669885764, 'result_false_positives': 0.47, 'result_false_negatives': 0.05, 'result_response_active': 1.0587917858095555e-07, 'result_response_inactive': -6.67147963054313e-08, 'result_auc': 0.5211111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9999991764025438, 'result_error_out_all': 0.9999969638574763, 'result_error_in_mask': 1.0004963951241663, 'result_error_out_mask': 1.0004582671074975, 'result_false_positives': 0.34, 'result_false_negatives': 0.08, 'result_response_active': -4.3369710078908455e-07, 'result_response_inactive': -2.442900716989308e-07, 'result_auc': 0.4411111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.9999999999999969, 'result_error_out_all': 0.9999999999999983, 'result_error_in_mask': 1.0008125553442246, 'result_error_out_mask': 1.0005597312142687, 'result_false_positives': 0.43, 'result_false_negatives': 0.04, 'result_response_active': -4.2954623965891276e-08, 'result_response_inactive': -1.209504835846085e-07, 'result_auc': 0.56}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 3, 'result_error_in_all': 0.99999740022293, 'result_error_out_all': 0.999998415364065, 'result_error_in_mask': 1.0005945455265317, 'result_error_out_mask': 1.0005149431066238, 'result_false_positives': 0.39, 'result_false_negatives': 0.05, 'result_response_active': 8.379363915697104e-07, 'result_response_inactive': -3.979917037597511e-08, 'result_auc': 0.5922222222222222}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 4, 'result_error_in_all': 0.9999989163002255, 'result_error_out_all': 0.9999995826430643, 'result_error_in_mask': 1.0004315081323396, 'result_error_out_mask': 1.0003924884202646, 'result_false_positives': 0.28, 'result_false_negatives': 0.05, 'result_response_active': 2.4018540595275583e-07, 'result_response_inactive': 1.3292444013830538e-07, 'result_auc': 0.5488888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 5, 'result_error_in_all': 0.9999994322494091, 'result_error_out_all': 0.999999620376081, 'result_error_in_mask': 1.0000975626553674, 'result_error_out_mask': 1.0001793768229124, 'result_false_positives': 0.2, 'result_false_negatives': 0.05, 'result_response_active': 5.4579084790901e-07, 'result_response_inactive': 6.261018716656364e-08, 'result_auc': 0.7677777777777779}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 6, 'result_error_in_all': 0.9999967788817274, 'result_error_out_all': 1.000000080376857, 'result_error_in_mask': 1.0005966992102573, 'result_error_out_mask': 1.0005171685465735, 'result_false_positives': 0.36, 'result_false_negatives': 0.05, 'result_response_active': -3.7740622373467215e-08, 'result_response_inactive': -1.2966754056157958e-07, 'result_auc': 0.5211111111111111}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 0, 'result_error_in_all': 0.9999597511531542, 'result_error_out_all': 0.9999818551995304, 'result_error_in_mask': 0.9999813937303312, 'result_error_out_mask': 0.9999913433660086, 'result_false_positives': 0.21, 'result_false_negatives': 0.04, 'result_response_active': 0.1986844873378868, 'result_response_inactive': 0.00538665789013471, 'result_auc': 0.6844444444444444}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 1, 'result_error_in_all': 0.999995840761218, 'result_error_out_all': 0.999997390009591, 'result_error_in_mask': 0.9999763978695443, 'result_error_out_mask': 0.9999834290257601, 'result_false_positives': 0.41, 'result_false_negatives': 0.02, 'result_response_active': 0.2478238995117863, 'result_response_inactive': -0.0009408027733282674, 'result_auc': 0.7733333333333334}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 2, 'result_error_in_all': 0.9999935752837603, 'result_error_out_all': 0.9999942637391487, 'result_error_in_mask': 0.9999796726422542, 'result_error_out_mask': 0.9999998599056814, 'result_false_positives': 0.7, 'result_false_negatives': 0.03, 'result_response_active': 0.14134112228496407, 'result_response_inactive': 0.01588737740601574, 'result_auc': 0.5133333333333333}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 3, 'result_error_in_all': 0.9999668056298149, 'result_error_out_all': 0.9999737491031278, 'result_error_in_mask': 0.9999757398278228, 'result_error_out_mask': 0.9999855091841154, 'result_false_positives': 0.31, 'result_false_negatives': 0.03, 'result_response_active': 0.2007919084207424, 'result_response_inactive': 0.004167849489778818, 'result_auc': 0.7388888888888889}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ols_ols_bag', 'seed': 4, 'result_error_in_all': 0.9999683088433025, 'result_error_out_all': 0.9999620161713711, 'result_error_in_mask': 0.9999828186032299, 'result_error_out_mask': 0.9999791613310698, 'result_false_positives': 0.13, 'result_false_negatives': 0.03, 'result_response_active': 0.22865314675102127, 'result_response_inactive': -0.0015088085944050102, 'result_auc': 0.8644444444444445}
