{'model': 'jrr', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9947387310222118, 'result_error_out_all': 0.9992323486745183, 'result_error_in_mask': 0.9947387310222118, 'result_error_out_mask': 0.9992323486745183, 'result_false_positives': 0.0, 'result_false_negatives': 0.2}
{'model': 'oracle', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9999315476269997, 'result_error_out_all': 0.9999795597906785, 'result_error_in_mask': 0.9999315476269997, 'result_error_out_mask': 0.9999795597906785, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.99983259585466, 'result_error_out_all': 0.9999922666626513, 'result_error_in_mask': 0.9998532640694537, 'result_error_out_mask': 0.9999923095253958, 'result_false_positives': 0.51, 'result_false_negatives': 0.03}
{'model': 'ols', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9997973969044817, 'result_error_out_all': 0.9999808188577963, 'result_error_in_mask': 0.9998225888364953, 'result_error_out_mask': 0.9999737176464911, 'result_false_positives': 0.28, 'result_false_negatives': 0.06}
{'model': 'jrr', 'n_samples': 10000, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 0, 'result_error_in_all': 0.9997035462587958, 'result_error_out_all': 1.0001312714611954, 'result_error_in_mask': 0.9997035462587958, 'result_error_out_mask': 1.0001312714611954, 'result_false_positives': 0.18, 'result_false_negatives': 0.02}
{'model': 'ols', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 7, 'result_error_in_all': 0.9977881478798457, 'result_error_out_all': 0.9996383088465911, 'result_error_in_mask': 0.997363728084328, 'result_error_out_mask': 0.9997897498694238, 'result_false_positives': 0.1, 'result_false_negatives': 0.3}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9945435547710086, 'result_error_out_all': 0.998126647324994, 'result_error_in_mask': 0.9945435547710086, 'result_error_out_mask': 0.998126647324994, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 8, 'result_error_in_all': 1.071486497286232, 'result_error_out_all': 1.0313223994157394, 'result_error_in_mask': 1.0714864972862344, 'result_error_out_mask': 1.0313223994157394, 'result_false_positives': 0.49, 'result_false_negatives': 0.03}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 4, 'result_error_in_all': 0.9999968423900846, 'result_error_out_all': 0.999998833979164, 'result_error_in_mask': 0.9999968423900846, 'result_error_out_mask': 0.999998833979164, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'ols', 'n_samples': 100, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 1.000082610286269, 'result_error_out_all': 1.0000033025109967, 'result_error_in_mask': 1.000307657097336, 'result_error_out_mask': 1.0000159355082232, 'result_false_positives': 0.47, 'result_false_negatives': 0.04}
{'model': 'ols', 'n_samples': 100, 'dim_x': 100, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 1.0000141503267341, 'result_error_out_all': 1.0000003019088635, 'result_error_in_mask': 0.9999965964203522, 'result_error_out_mask': 1.0000052996201463, 'result_false_positives': 0.3, 'result_false_negatives': 0.03}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 1.0000054035366084, 'result_error_out_all': 0.9999994309864417, 'result_error_in_mask': 1.0000054035366084, 'result_error_out_mask': 0.9999994309864417, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 1, 'result_error_in_all': 0.9999847792782603, 'result_error_out_all': 1.0000019553474544, 'result_error_in_mask': 0.9999847792782603, 'result_error_out_mask': 1.0000019553474544, 'result_false_positives': 0.35, 'result_false_negatives': 0.04}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 50, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 6, 'result_error_in_all': 0.9999497107513143, 'result_error_out_all': 0.9999946669690574, 'result_error_in_mask': 0.9999497107513143, 'result_error_out_mask': 0.9999946669690574, 'result_false_positives': 0.44, 'result_false_negatives': 0.0}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 100, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 1.0000012761866948, 'result_error_out_all': 0.9999983995837357, 'result_error_in_mask': 1.0000012761866948, 'result_error_out_mask': 0.9999983995837357, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 100, 'dim_x': 50, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 9, 'result_error_in_all': 0.999902665987584, 'result_error_out_all': 1.0000007100111932, 'result_error_in_mask': 0.999902665987584, 'result_error_out_mask': 1.0000007100111932, 'result_false_positives': 0.58, 'result_false_negatives': 0.02}
{'model': 'oracle', 'n_samples': 100, 'dim_x': 10, 'dim_y': 100, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9999812452949345, 'result_error_out_all': 0.9999991750284319, 'result_error_in_mask': 0.9999812452949345, 'result_error_out_mask': 0.9999991750284319, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
{'model': 'jrr', 'n_samples': 1000, 'dim_x': 10, 'dim_y': 10, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 2, 'result_error_in_all': 0.9985068134928939, 'result_error_out_all': 1.009138920128614, 'result_error_in_mask': 0.9985068134928939, 'result_error_out_mask': 1.0091389201286138, 'result_false_positives': 0.0, 'result_false_negatives': 0.4}
{'model': 'oracle', 'n_samples': 10000, 'dim_x': 50, 'dim_y': 50, 'rho_x': 0.5, 'rho_n': 0.5, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'seed': 5, 'result_error_in_all': 0.9990048047551516, 'result_error_out_all': 0.9996846605645713, 'result_error_in_mask': 0.9990048047551516, 'result_error_out_mask': 0.9996846605645708, 'result_false_positives': 0.0, 'result_false_negatives': 0.0}
