
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 1.0004228730390665, 'result_error_out_all': 1.000410428248799, 'result_error_in_mask': 1.0431968574096597, 'result_error_out_mask': 1.0623217853072322, 'result_false_positives': 0.36, 'result_false_negatives': 0.07, 'result_auc': 0.48108448928121056}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.108354804027469, 'result_error_out_all': 15.254607050911655, 'result_error_in_mask': 1.010436943436191, 'result_error_out_mask': 1.0168890878659234, 'result_false_positives': 0.11, 'result_false_negatives': 0.09, 'result_auc': 0.490530303030303}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9998918616513582, 'result_error_out_all': 0.9998929924498794, 'result_error_in_mask': 1.0089514197958107, 'result_error_out_mask': 1.0103714574927425, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0025327068274705, 'result_error_out_all': 1.0006726834228243, 'result_error_in_mask': 1.0253858915829857, 'result_error_out_mask': 1.0320568063376852, 'result_false_positives': 0.2, 'result_false_negatives': 0.05, 'result_auc': 0.5666666666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.0903443207740273, 'result_error_out_all': 1.483262423168428, 'result_error_in_mask': 1.0292622738314707, 'result_error_out_mask': 1.0447286500432413, 'result_false_positives': 0.23, 'result_false_negatives': 0.06, 'result_auc': 0.5329781836631152}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 10, 'nonlinear': 0, 'n_seeds': 10, 'model': 'RRR', 'seed': 0, 'result_error_in_all': 1.001851695480151, 'result_error_out_all': 1.0011692920898339, 'result_error_in_mask': 1.0171096780177966, 'result_error_out_mask': 1.021994987248019, 'result_false_positives': 0.15, 'result_false_negatives': 0.07, 'result_auc': 0.540650406504065}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 1.0005849948066359, 'result_error_out_all': 1.0004683797572862, 'result_error_in_mask': 1.0502375689339079, 'result_error_out_mask': 1.0835105330651018, 'result_false_positives': 0.44, 'result_false_negatives': 0.03, 'result_auc': 0.4939613526570048}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'OLS', 'seed': 0, 'result_error_in_all': 1.1088638710650944, 'result_error_out_all': 15.263485706286362, 'result_error_in_mask': 1.0104459376421433, 'result_error_out_mask': 1.0167668746340084, 'result_false_positives': 0.11, 'result_false_negatives': 0.04, 'result_auc': 0.518939393939394}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Oracle', 'seed': 0, 'result_error_in_all': 0.9999444505566796, 'result_error_out_all': 0.9999513675640663, 'result_error_in_mask': 1.0044793366668383, 'result_error_out_mask': 1.0052766894955816, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'PLS', 'seed': 0, 'result_error_in_all': 1.0025399776861215, 'result_error_out_all': 1.0006086853269636, 'result_error_in_mask': 1.0259315711267327, 'result_error_out_mask': 1.033374522691676, 'result_false_positives': 0.22, 'result_false_negatives': 0.02, 'result_auc': 0.5466666666666667}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 100, 'snr': 0.1, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'Ridge', 'seed': 0, 'result_error_in_all': 1.0908504180900367, 'result_error_out_all': 1.4840771927442442, 'result_error_in_mask': 1.0272047806795936, 'result_error_out_mask': 1.0396834028172637, 'result_false_positives': 0.23, 'result_false_negatives': 0.03, 'result_auc': 0.52}
