{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 0, 'result_error_in_all': 0.9957095158079009, 'result_error_out_all': 0.99515382537317, 'result_error_in_mask': 0.9984436970317242, 'result_error_out_mask': 0.9986436460739183, 'result_false_positives': 0.38, 'result_false_negatives': 0.0, 'result_response_active': 6.670427909157307e-05, 'result_response_inactive': 3.7476947473842877e-06, 'result_auc': 0.9473684210526316}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 1, 'result_error_in_all': 0.9955977853132109, 'result_error_out_all': 0.995096298006362, 'result_error_in_mask': 1.0033515604061976, 'result_error_out_mask': 1.0031588095444972, 'result_false_positives': 0.17, 'result_false_negatives': 0.0, 'result_response_active': 9.204906400964462e-05, 'result_response_inactive': 8.665360185841196e-06, 'result_auc': 0.9873684210526316}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 2, 'result_error_in_all': 0.9914440041949827, 'result_error_out_all': 0.9911101451459932, 'result_error_in_mask': 0.9910535538679468, 'result_error_out_mask': 0.9912003298816409, 'result_false_positives': 0.01, 'result_false_negatives': 0.0, 'result_response_active': 0.00014205104904287843, 'result_response_inactive': 5.817985065123439e-06, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRR', 'seed': 3, 'result_error_in_all': 0.9951584868130842, 'result_error_out_all': 0.9960042916420886, 'result_error_in_mask': 0.9919933406359212, 'result_error_out_mask': 0.9930327410334483, 'result_false_positives': 0.0, 'result_false_negatives': 0.0, 'result_response_active': 0.0002672360217981806, 'result_response_inactive': 8.147510611133518e-06, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 0, 'result_error_in_all': 0.9960932397965296, 'result_error_out_all': 0.9944687744472287, 'result_error_in_mask': 0.9951202839273569, 'result_error_out_mask': 0.9949043843043187, 'result_false_positives': 0.0, 'result_false_negatives': 0.02, 'result_response_active': 0.002191194793816087, 'result_response_inactive': 2.9560922794324195e-05, 'result_auc': 0.9873684210526316}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 1, 'result_error_in_all': 0.9948299865600236, 'result_error_out_all': 0.9941903641311174, 'result_error_in_mask': 0.9941690026623429, 'result_error_out_mask': 0.9933924118252774, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.0005210091966787692, 'result_response_inactive': 2.5151618142933914e-05, 'result_auc': 0.9305263157894738}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 2, 'result_error_in_all': 0.9906985493522115, 'result_error_out_all': 0.9904366467105643, 'result_error_in_mask': 0.9923114012208072, 'result_error_out_mask': 0.9916619084596152, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.0013471121920928968, 'result_response_inactive': 2.2019354328559705e-05, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankcv_bag', 'seed': 3, 'result_error_in_all': 0.9928389775127202, 'result_error_out_all': 0.9940363236445263, 'result_error_in_mask': 0.9926527670235141, 'result_error_out_mask': 0.9939348167338172, 'result_false_positives': 0.0, 'result_false_negatives': 0.01, 'result_response_active': 0.004128782562501674, 'result_response_inactive': 5.9575072790105694e-05, 'result_auc': 1.0}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 0, 'result_error_in_all': 1.0039475627506127, 'result_error_out_all': 1.0067185667896383, 'result_error_in_mask': 0.9995417360266886, 'result_error_out_mask': 0.9995641320639209, 'result_false_positives': 0.94, 'result_false_negatives': 0.02, 'result_response_active': -28.18267906830555, 'result_response_inactive': -0.15215955673556508, 'result_auc': 0.3894736842105263}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 1, 'result_error_in_all': 1.0009540257007294, 'result_error_out_all': 1.0004735992930782, 'result_error_in_mask': 0.999352972588671, 'result_error_out_mask': 1.0000557306694022, 'result_false_positives': 0.95, 'result_false_negatives': 0.01, 'result_response_active': -1.5955059337666613, 'result_response_inactive': -0.020027684015746648, 'result_auc': 0.5936842105263158}
{'n_samples': 1000, 'dim_x': 100, 'dim_y': 25, 'snr': 0.5, 'nc': 5, 'nonlinear': 0, 'n_seeds': 10, 'model': 'JRRTEST_ridgecv_rankmle_bag', 'seed': 2, 'result_error_in_all': 0.9945024170994458, 'result_error_out_all': 0.9950216035248217, 'result_error_in_mask': 0.9987267323699489, 'result_error_out_mask': 0.999755845749123, 'result_false_positives': 0.93, 'result_false_negatives': 0.03, 'result_response_active': -0.786169509477747, 'result_response_inactive': -0.03750258743396863, 'result_auc': 0.2442105263157895}
